path	category	size	sha256	exact_match_count	certified_match_count	historical_match_count
AGENTS.md	CURRENT_DOCUMENTATION	1846	eda7ec3d9b8a050d7e563df9b76f03f807a5ddfbe1a66dd220276c61d82c277f	0	0	0
API-ARCHITECTURE.md	CURRENT_DOCUMENTATION	726	526df240ac3f7ced0dedbf42719e8539146ae7c2199e250dfbf99bcfba3ef56f	0	0	0
FIRST-CONVERSATION.txt	CURRENT_DOCUMENTATION	479	878898126c99033a087bb5f26ad68ea3c1add785a0a4f7c86a755d0679fa5d02	0	0	0
Modelfile.qwen35-4b-64k	CURRENT_OTHER	40	a2f7d9451f35466b77e868fc5b27c329220950e6542685d0f18302712229267d	0	0	0
NEWELLE-CONNECTION.txt	CURRENT_DOCUMENTATION	290	32d39301379099e72387c736f39cc2d22919e2864ceb5769d6cb7288ed2e4bdc	0	0	0
NEWELLE-PROFILE-INSTRUCTIONS.txt	CURRENT_DOCUMENTATION	685	c72b441e483d4190e5c43e6a1324e3c0af08420408bb66dd31e850453503876e	0	0	0
adapters/hermes.yaml	CURRENT_CONFIG	1184	351524e2cb87051556c587a4500303f8b71e889bffa5110860604afe98efec3d	0	0	0
bin/bristlecone-workshop	CURRENT_SCRIPT	217	e8c7135faff3127ddf758d23a7f56bd66c072ca5a2d5c5e051c7f74af5935919	0	0	0
bin/bristlecone-workshop.py	CURRENT_SOURCE	10331	c1dba1892ee33f970f46d2286f9bdf4d84aed8277e08049602e74c6e556a2bb0	0	0	0
bin/forest-reasoning-menu	CURRENT_SCRIPT	313	e9ee1ff940974cceb8eb856e9d58fa15eb752ba92e8081e7a3ec86e936d6b883	1	0	1
bin/resolve-workshop	CURRENT_SCRIPT	4581	8ae1129239309e8caabbe4fe04ea6b3f5646580c32453cc4ce13eea45606b398	0	0	0
bin/show-newelle-connection.sh	CURRENT_SCRIPT	225	2c781947028c013f882a9d2ee8556333423cd6395fa0fb49ce866b17a717ef2e	0	0	0
bin/start-bristlecone-api.sh	CURRENT_SCRIPT	1275	dcacfee132ce66c8fb8bfda0e18c624ec6552c6fad438450101605dee3cbba55	0	0	0
bin/status-bristlecone-api.sh	CURRENT_SCRIPT	448	b0adb86ada9e3dd01af592a1def9b4e9fb242d2be263f8dc881211da0582dcc5	0	0	0
bin/stop-bristlecone-api.sh	CURRENT_SCRIPT	1017	5be102c94a630ae3b9cd03f64d50179450b4a52ed46b3f054f3fb0a083870f82	0	0	0
bin/test-bristlecone-api.sh	CURRENT_SCRIPT	932	45f50345871cc5cef7e95cee12435dc4d43fc6661562a6bd291e749b06c3536f	0	0	0
bin/verify-bristlecone.sh	CURRENT_SCRIPT	1209	1434efa215d25f0ba1dfc124c495f4c4d1c843ab4c8c9de84e0155fe3f249768	0	0	0
bin/verify-live-workshop	CURRENT_SCRIPT	1803	0960d50536fd6ce4bddc97876b745502bd86c3ce9a47bb90211502a0ea81a0e3	0	0	0
cache/__init__.py	CURRENT_SOURCE	294	6ad14ad62f666dfd89bc6068967ce6bb5fd8565d0eb57cd5fb6c4c99ab4bda4c	0	0	0
cache/coordinator.py	CURRENT_SOURCE	4700	3f0ff65a1362170e62b181048aa638bba93778809ccdebdd77a672ecb17a89f2	0	0	0
cache/entry.py	CURRENT_SOURCE	2105	5fcdcd629b83e249da4563cfdd3d56f3e43adb867a7016002466574fb7a771e7	0	0	0
capabilities/registry.yaml	CURRENT_CONFIG	2035	aa2fcd57c8d427844854ce5aef50c115d206a40c12271d9e78c21eefcdb0d545	0	0	0
capabilities/resolver.py	CURRENT_SOURCE	27938	c4edbb816c61b282a5fd560793c0b3aa9027b8d07544e5c9c15ec4f0a4842f23	0	0	0
colony/__init__.py	CURRENT_SOURCE	420	d30320794660e19ce6cfd1e593d5d59c10a79f5b02d06f4512244a0018f0af38	4	4	0
colony/identity.py	CURRENT_SOURCE	3417	0b95f47bc0f4321f722a4b6b092a40238ef4193a91ccc40e963233b6a1be627a	6	6	0
corpus/BRISTLECONE-PINE-IDENTITY-STATUS-SEED-0.0.2.txt	CORPUS	7923	9914aa999808de42f0cd035be754b816b96bd848b0773b7a2f75a369b7978cf4	0	0	0
corpus/CHERRY-MAPLE-DEVELOPMENT-LEARNING-GUIDE.txt	CORPUS	8616	be9ea6d43201f7310eddb98d42a249de1f7ea104e0956bef1819308b8831263a	0	0	0
learning/__init__.py	CURRENT_SOURCE	1107	bcdf0dd132a9db31337928cdb5c461e1d4cdf531779d260e9d4e61cedd7c94ef	0	0	0
learning/context_matcher.py	CURRENT_SOURCE	9534	b1870ea17fb322971ea2808b0404391856b43c67640995211ce8c964931511a4	0	0	0
learning/context_state.py	CURRENT_SOURCE	34156	4a504a12a461541fa6370a5dca608e368a0e74873b254ab3add34c5f365447ed	0	0	0
learning/foundation.py	CURRENT_SOURCE	39651	cd785a840356ad55d6ef27fb2b441620fb8280bbbda0bf583b700aba35a9601c	0	0	0
